;Meritev1;Meritev2;Meritev3;Meritev4;Meritev5;Meritev6
Sonda130;23;35,7;41,8;53,3;38,8;29,6
Sonda230;16,3;15,8;22,9;49,2;19,5;29,6
Sonda190;9,1;12,3;12,3;10,3;12,2;10,2
Sonda290;4,1;5,1;5,1;5,6;6,1;6,1
Sonda1120;6,1;8,2;7,6;9,7;8,7;7,2
Sonda2120;4,6;4,6;2,5;4,6;3,6;2,5
