,Time,Cmin,Cmax,Mean
0,0.1,0.0,1000.0,500.0
1,0.2,0.0,852.942,426.471
2,0.3,1.12222e-43,706.189,353.0945
3,0.4,1.55296e-33,573.546,286.773
4,0.5,7.99364e-29,459.916,229.958
5,0.6,7.87245e-26,365.682,182.841
6,0.7,6.17085e-24,289.144,144.572
7,0.8,4.27212e-22,242.111,121.0555
8,0.9,1.19468e-20,206.88,103.44
9,1.0,1.528e-19,174.31,87.155
10,1.1,1.24214e-18,145.351,72.6755
11,1.2,8.04984e-18,122.367,61.1835
12,1.3,4.41264e-17,110.993,55.4965
13,1.4,2.12036e-16,99.2179,49.60895
14,1.5,9.11907e-16,87.6268,43.8134
15,1.6,3.55803e-15,76.6141,38.30705
16,1.7,1.27254e-14,70.2235,35.11175000000001
17,1.8,4.28894e-14,64.8611,32.43055000000002
18,1.9,1.35356e-13,59.8101,29.905050000000067
19,2.0,4.04264e-13,55.8797,27.939850000000202
20,2.1,1.15233e-12,51.6766,25.838300000000576
21,2.2,3.1464e-12,47.6401,23.820050000001572
22,2.3,8.26885e-12,44.7276,22.363800000004137
23,2.4,2.09949e-11,41.6319,20.8159500000105
24,2.5,5.16303e-11,38.4505,19.225250000025813
25,2.6,1.23131e-10,36.0868,18.043400000061563
26,2.7,2.76267e-10,33.8477,16.923850000138135
27,2.8,5.93568e-10,31.9078,15.953900000296786
28,2.9,1.24125e-09,29.8727,14.936350000620624
29,3.0,2.52738e-09,28.3079,14.15395000126369
30,3.1,5.01339e-09,26.7832,13.391600002506696
31,3.2,9.69092e-09,25.192,12.59600000484546
32,3.3,1.8273e-08,23.5678,11.783900009136499
33,3.4,3.363e-08,22.3243,11.162150016815
34,3.5,6.04589e-08,21.3131,10.656550030229448
35,3.6,1.06256e-07,20.4146,10.207300053128
36,3.7,1.78081e-07,19.5858,9.792900089040499
37,3.8,2.86902e-07,18.7366,9.368300143451
38,3.9,4.55374e-07,17.9933,8.996650227687
39,4.0,7.12657e-07,17.2008,8.6004003563285
40,4.1,1.10042e-06,16.374,8.18700055021
41,4.2,1.67738e-06,15.8336,7.91680083869
42,4.3,2.52549e-06,15.5614,7.7807012627450005
43,4.4,3.7573e-06,15.2316,7.61580187865
44,4.5,5.52568e-06,14.8715,7.43575276284
45,4.6,8.03679e-06,14.5098,7.254904018395
46,4.7,1.15642e-05,14.2173,7.1086557821
47,4.8,1.64676e-05,13.8864,6.9432082338
48,4.9,2.32149e-05,13.5581,6.77906160745
49,5.0,3.24088e-05,13.2869,6.643466204399999
50,5.1,4.48172e-05,13.0402,6.5201224086
51,5.2,6.14072e-05,12.8001,6.4000807036000005
52,5.3,8.33815e-05,12.5255,6.262791690749999
53,5.4,0.000112231,12.2231,6.1116061155
54,5.5,0.00014978,11.9579,5.97902489
55,5.6,0.00019824,11.7237,5.861949119999999
56,5.7,0.000260267,11.4697,5.7349801335
57,5.8,0.000339021,11.1985,5.5994195105
58,5.9,0.000438234,10.9123,5.456369117
59,6.0,0.00056013,10.6154,5.307980065
60,6.1,0.000702159,10.3124,5.1565510795
61,6.2,0.000875561,10.0498,5.0253377805
62,6.3,0.0010861,9.80651,4.90379805
63,6.4,0.00120974,9.56656,4.7838848700000005
64,6.5,0.00133892,9.32784,4.66458946
65,6.6,0.00149597,9.08784,4.544667985
66,6.7,0.00168541,8.85182,4.426752705
67,6.8,0.00189712,8.62451,4.313203560000001
68,6.9,0.00207184,8.40089,4.20148092
69,7.0,0.00221959,8.18409,4.093154794999999
70,7.1,0.00235153,7.97804,3.990195765
71,7.2,0.00251495,7.77855,3.890532475
72,7.3,0.00271472,7.60456,3.80363736
73,7.4,0.00291121,7.47207,3.737490605
74,7.5,0.00313999,7.34405,3.673594995
75,7.6,0.00340527,7.22316,3.613282635
