;Meritev1;Meritev2;Meritev3;Meritev4;Meritev5;Meritev6
Sonda130;27,2;26,1;22,2;26,6;22,1;26,6
Sonda230;23,6;25,1;18;21;19;16,6
Sonda190;7,1;8,7;7,7;9,2;7,7;10,8
Sonda290;9,1;5,6;7,2;5,1;5,1;6,7
Sonda1120;7,1;5,2;6,7;6,7;6,1;8,2
Sonda2120;4,6;4,6;6,7;3,1;5,6;5,1
