"Time","C ( block=2)"
0,0
0.5,0.0370852
1,0.711178
1.5,1.93821
2,2.04663
2.5,1.44974
3,1.08096
3.5,1.02638
4,1.08886
4.5,1.13515
5,1.13146
5.5,1.10336
6,1.08567
6.5,1.09358
7,1.12103
7.5,1.15309
8,1.17793
8.5,1.19177
9,1.19724
9.5,1.19914
10,1.201
10.5,1.20393
11,1.20736
11.5,1.2103
12,1.2122
12.5,1.21317
13,1.21362
