Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,51;0;0;0,5;0,000821693;0;0,51;0;0;0,51;0;0;0,51;0;0;0,51;0;0
1,02;0;0;1;0;0;1,02;0;0;1,02;0;0;1,02;0;0;1,02;0;0
1,53;0;0;1,51;0,000821693;0;1,53;-0,00069735;0;1,52;0;0;1,53;0;0;1,53;0;0
2,04;0;0;2,01;0,000821693;0,004987531;2,03;-0,00069735;0;2,03;0;0;2,05;0;0,000695894;2,04;0;0
2,55;0;0;2,51;0,000821693;0,019118869;2,54;0;0,007042254;2,54;0;0,009950249;2,56;0;1,428670842;2,54;0;0,170485793
3,06;-0,000669792;0;3,01;0,000821693;0,032418953;3,04;0;0,226056338;3,05;0;0,058280028;3,06;0;2,605427975;3,05;0;1,705774519
3,56;-0,000669792;0,221621622;3,51;0,000821693;0,080631754;3,55;0;1,098591549;3,56;-0,00070373;0,093816631;3,58;0;2,017397356;3,56;0;1,499541705
4,07;-0,000669792;2,116891892;4,02;0,000821693;0,098088113;4,06;0;2,702112676;4,07;-0,00070373;0,116560057;4,08;0;1,165622825;4,07;0;0,313473877
4,58;-0,000669792;2,485810811;4,52;0,000821693;0,093931837;4,57;0,023709902;2,614084507;4,57;-0,00070373;0,272210377;4,59;0;0,844119694;4,57;0;0,274060495
5,09;-0,000669792;4,598648649;5,02;0,000821693;0,283458022;5,08;0,034170153;1,564084507;5,08;-0,00070373;0,375977257;5,1;0;0,980514962;5,08;0;0,957836847
5,59;0,044206296;4,32972973;5,52;0,004108463;0,55195345;5,59;0,007670851;1,197183099;5,59;-0,00070373;0,368869936;5,61;-0,00068918;1,183716075;5,59;0;2,842346471
6,1;0,377762894;3,274324324;6,03;0,013968776;0,625103907;6,09;0,29776848;1,549295775;6,1;0,011259676;0,49466951;6,11;0,004824259;0,917884482;6,09;0;4,250229148
6,61;0,686537173;1,709459459;6,53;0,027115859;0,516209476;6,6;1,059274756;2,973239437;6,6;0,057002111;0,993603412;6,62;0,065472088;1,361864997;6,59;0;4,511457379
7,11;0,663764233;1,525;7,04;0,056696795;1,201163757;7,11;1,087168759;3,054929577;7,11;0,099225897;1,236673774;7,13;0,086147484;1,896311761;7,1;0;2,912007333
7,62;0,582049565;2,140540541;7,54;0,082990961;2,066500416;7,62;1,568340307;3,579577465;7,62;0,139338494;1,014925373;7,64;0,385940731;2,972860125;7,61;0,001782531;2,481209899
8,13;0,670462157;1,547297297;8,05;0,124897288;1,414796342;8,12;1,768479777;4,066901408;8,13;0,195636875;1,647476901;8,14;0,560992419;2,915796799;8,12;0,007130125;2,401466544
8,64;0,765572672;1,691891892;8,55;0,178307313;1,601828761;8,63;1,762900976;2,485915493;8,63;0,249824068;3,727789623;8,65;0,618883529;2,727905358;8,62;0,016042781;1,502291476
9,14;0,76490288;1,797972973;9,06;0,5168447;1,337489609;9,14;1,711297071;2,601408451;9,14;0,349049965;2,82018479;9,16;0,802205376;2,36743215;9,13;0,029411765;2,113657195
9,65;0,93770931;1,950675676;9,57;0,686113394;0,982543641;9,64;1,70153417;2,618309859;9,65;0,386347643;2,33901919;9,67;0,920055134;2,171189979;9,64;0,069518717;2,672777269
10,16;1,538513061;2,139189189;10,08;0,788003287;0,864505403;10,15;1,915620642;2,215492958;10,16;0,476425053;2,041222459;10,17;1,011026878;2,199721642;10,14;0,12745098;2,093492209
10,66;2,586068319;1,55472973;10,59;0,9326212;1,782211139;10,66;2,538354254;2,31971831;10,66;0,626319493;1,710732054;10,68;1,077188146;2,24217119;10,65;0,204099822;1,445462878
11,17;2,989283322;1,389189189;11,1;1,006573541;1,950124688;11,16;2,875174338;2,282394366;11,17;0,868402533;1,628287136;11,19;1,252929014;2,04453723;11,16;0,286096257;0,501374885
11,68;3,268586738;1,477027027;11,6;0,960558751;2,076475478;11,67;3,10181311;2,073239437;11,68;0,957776214;1,473347548;11,69;1,16815989;2,092553932;11,67;0,262032086;0,70852429
12,19;3,655726725;1,887162162;12,11;0,683648316;2,1280133;12,18;3,071827057;1,665492958;12,19;1,068261787;1,679459844;12,2;1,117849759;2,147529576;12,17;0,259358289;1,021998167
12,7;4,088412592;1,897297297;12,62;0,843878389;2,197838736;12,68;2,79637378;1,693661972;12,69;1,196340605;1,401563611;12,71;1,05375603;1,327070285;12,68;0,399286988;1,091659028
13,21;4,208305425;1,754054054;13,12;1,15283484;2,222776392;13,19;2,60460251;2,023943662;13,2;1,442646024;1,857142857;13,22;0,987594762;1,380654141;13,18;0,599821747;1,107241063
13,72;4,302076356;1,897972973;13,62;1,187345933;1,951787199;13,7;2,359135286;2,161971831;13,71;1,537649543;2,424307036;13,72;1,036526533;1,090466249;13,69;0,78342246;1,113657195
14,23;4,271265908;2,062837838;14,13;1,197206245;1,675810474;14,2;1,979079498;2,137323944;14,21;1,565095004;2,49466951;14,23;1,052377671;0,711899791;14,2;0,8057041;1,148487626
14,73;3,724715338;1,800675676;14,64;1,213640099;1,53283458;14,71;1,385634589;1,984507042;14,72;1,579169599;2,541577825;14,74;1,062026189;1,223382046;14,71;0,826203209;1,180568286
15,24;3,498995311;1,749324324;15,15;1,256368118;1,687448047;15,22;1,358437936;2,144366197;15,23;1,644616467;2,695095949;15,24;1,096485183;1,19763396;15,21;0,830659537;1,338221815
15,75;3,251172137;1,729054054;15,65;1,268693509;1,671654198;15,73;1,369595537;1,816197183;15,74;1,654468684;2,749822317;15,75;1,105444521;1,198329854;15,72;0,862745098;1,441796517
16,26;3,056262559;1,662837838;16,17;1,267871816;1,634247714;16,24;1,381450488;1,640140845;16,25;1,631245602;2,628997868;16,26;1,11371468;1,299930411;16,23;0,864527629;1,403299725
16,77;3,014735432;1,787162162;16,67;1,255546426;1,460515378;16,74;1,391910739;1,543661972;16,76;1,587614356;2,281449893;16,77;1,128876637;1,126652749;16,74;0,873440285;1,428047663
17,27;3,136637642;1,602702703;17,18;1,070665571;1,400665004;17,25;1,410739191;1,484507042;17,27;1,538353272;2,206823028;17,27;1,161268091;1,317327766;17,24;0,8885918;1,392300642
17,78;3,180174146;1,343243243;17,69;1,132292523;1,410640067;17,76;1,443514644;1,406338028;17,78;1,525686137;1,995024876;18,29;1,117849759;2,147529576;17,75;0,904634581;1,464711274
18,29;2,87809779;1,256756757;18,2;1,161873459;1,455527847;18,27;1,476987448;1,403521127;18,29;1,500351865;1,926794598;18,8;1,05375603;1,327070285;18,26;0,908199643;1,366636114
18,8;2,222371065;1,137837838;18,71;1,170090386;1,351620948;18,77;1,532078103;1,349295775;18,79;1,488388459;1,958066809;19,31;0,987594762;1,380654141;18,76;0,909090909;1,266727773
19,3;2,149363697;1,178378378;19,21;1,197206245;1,285951787;19,28;1,584379358;1,397183099;19,3;1,406755806;1,992181947;19,81;1,036526533;1,090466249;19,28;0,877005348;1,241063245
19,81;2,102478232;1,151351351;19,72;1,203779786;1,27680798;19,79;1,682705718;1,357042254;19,81;1,361717101;1,968017058;20,32;1,052377671;0,711899791;19,78;0,88057041;1,22456462
20,32;2,063630275;1,130405405;20,23;1,207066557;1,298420615;20,29;1,756624826;1,297183099;20,32;1,276565799;1,889836532;20,83;1,062026189;1,223382046;20,28;0,895721925;1,143904675
20,83;2,123911587;1,127027027;20,73;1,179950698;1,352452203;20,8;1,746164575;1,242957746;20,82;1,21182266;1,655294954;21,33;1,096485183;1,19763396;20,79;0,903743316;1,135655362
21,33;2,296048225;1,125675676;21,24;1,175842235;1,290108063;21,31;1,741283124;1,20915493;21,33;1,209711471;1,495380242;21,84;1,105444521;1,198329854;21,3;0,884135472;1,249312557
21,84;2,524447421;1,140540541;21,75;1,162695152;1,290939318;21,82;1,751046025;1,178169014;21,84;1,209007741;1,455579247;22,35;1,11371468;1,299930411;21,81;0,875222816;1,243813016
22,34;2,664434025;1,141891892;22,26;1,134757601;1,311720698;22,32;1,761506276;1,138028169;22,35;1,21182266;1,445628998;22,86;1,128876637;1,126652749;22,32;0,870766488;1,197983501
22,85;2,57803081;1,147972973;22,76;1,110928513;1,285120532;22,83;1,727336123;1,116197183;22,86;1,268824771;1,042643923;23,37;1,161268091;1,317327766;22,82;0,889483066;1,158570119
23,35;2,377093101;1,135810811;23,27;1,108463435;1,248545303;23,34;1,686192469;1,126760563;23,36;1,232934553;1,031982942;23,87;1,172984149;1,322199026;23,33;0,937611408;1,158570119
23,86;2,170797053;1,117567568;23,78;1,110928513;1,227763924;23,85;1,633891213;1,179577465;23,87;1,171710063;1,108031272;24,37;1,185389387;1,272094642;23,84;0,909090909;1,088909258
