,Time,Cmin,Cmax,Mean
0,0.1,0.0,1000.0,500.0
1,0.2,2.84906e-45,763.677,381.8385
2,0.3,1.15247e-27,572.947,286.4735
3,0.4,5.57559e-22,424.298,212.149
4,0.5,2.15828e-19,311.36,155.68
5,0.6,6.91308e-18,227.101,113.5505
6,0.7,9.26636e-17,167.114,83.557
7,0.8,8.32171e-16,137.341,68.6705
8,0.9,4.8636e-15,110.027,55.0135
9,1.0,2.33426e-14,90.7047,45.352350000000015
10,1.1,9.9482e-14,75.3621,37.68105000000005
11,1.2,3.87826e-13,61.5567,30.778350000000195
12,1.3,1.40535e-12,52.2495,26.124750000000702
13,1.4,4.76496e-12,45.4532,22.726600000002385
14,1.5,1.51368e-11,40.8645,20.432250000007567
15,1.6,4.50153e-11,37.5878,18.793900000022507
16,1.7,1.22425e-10,33.9521,16.976050000061214
17,1.8,3.14536e-10,31.1402,15.570100000157268
18,1.9,7.66789e-10,28.4314,14.215700000383395
19,2.0,1.7799e-09,25.612,12.806000000889949
20,2.1,3.94892e-09,23.2502,11.62510000197446
21,2.2,8.40188e-09,21.3765,10.68825000420094
22,2.3,1.71954e-08,19.5566,9.7783000085977
23,2.4,3.39555e-08,18.1967,9.09835001697775
24,2.5,6.48459e-08,16.9445,8.47225003242295
25,2.6,1.2006e-07,15.8321,7.91605006003
26,2.7,2.1605e-07,14.9879,7.4939501080249995
27,2.8,3.78537e-07,14.2853,7.1426501892685
28,2.9,6.46932e-07,13.4951,6.747550323466
29,3.0,1.08023e-06,12.7234,6.361700540115
30,3.1,1.76536e-06,12.154,6.07700088268
31,3.2,2.82712e-06,11.9459,5.97295141356
32,3.3,4.44204e-06,11.673,5.83650222102
33,3.4,6.85566e-06,11.3403,5.67015342783
34,3.5,1.0404e-05,11.0593,5.529655202
35,3.6,1.31204e-05,10.7491,5.3745565602
36,3.7,1.58137e-05,10.4101,5.20505790685
37,3.8,1.82417e-05,10.0276,5.0138091208499995
38,3.9,2.072e-05,9.70073,4.85037536
39,4.0,2.35232e-05,9.38763,4.6938267616
40,4.1,2.66699e-05,9.12323,4.56162833495
41,4.2,3.04225e-05,8.92322,4.46162521125
42,4.3,3.49537e-05,8.69618,4.34810747685
43,4.4,4.04843e-05,8.4498,4.22492024215
44,4.5,4.7296e-05,8.21802,4.109033648
45,4.6,5.57465e-05,8.0146,4.0073278732499995
46,4.7,6.39905e-05,7.79863,3.89934699525
47,4.8,7.06659e-05,7.57118,3.78562533295
48,4.9,7.7785e-05,7.3382,3.6691388925
49,5.0,8.60571e-05,7.10385,3.55196802855
