;Meritev1;Meritev2;Meritev3;Meritev4;Meritev5;Meritev6
Sonda130;39,1;32,9;38,6;37,1;41,6;27,4
Sonda230;30;36,5;37,6;35;43,2;29,4
Sonda190;7,6;7,6;7,6;5,6;7,6;5,1
Sonda290;7,1;6,6;6,6;5,6;5,6;6,1
Sonda1120;7,1;7,1;7,1;7,1;7,1;7,1
Sonda2120;6,6;5,1;5,6;6,1;4,1;6,1
Sonda1200;3,6;5,1;4,1;4,1;3,6;4,1
Sonda2200;3;4,6;4,1;3,1;3,1;2
