"Time","C ( block=2)"
0,0
0.5,0.00223611
1,0.0710571
1.5,0.41398
2,1.02339
2.5,1.51366
3,1.59941
3.5,1.34124
4,0.956494
4.5,0.609764
5,0.362168
5.5,0.209274
6,0.125273
6.5,0.0861569
7,0.0766863
7.5,0.0899088
8,0.124408
8.5,0.181307
9,0.261526
9.5,0.363699
10,0.48306
10.5,0.611579
11,0.739174
11.5,0.855579
12,0.952117
12.5,1.0232
13,1.06679
13.5,1.0843
14,1.07991
14.5,1.0595
15,1.02966
15.5,0.996744
16,0.96617
16.5,0.941995
17,0.926748
17.5,0.921446
18,0.925752
18.5,0.938295
19,0.956991
19.5,0.979431
20,1.00317
20.5,1.02601
21,1.0462
21.5,1.06256
22,1.07445
22.5,1.0818
23,1.085
23.5,1.08475
24,1.08196
24.5,1.07762
25,1.07264
25.5,1.06785
26,1.06383
26.5,1.061
27,1.05953
27.5,1.05941
28,1.06045
28.5,1.06239
29,1.06489
29.5,1.06761
30,1.07022
30.5,1.07246
31,1.07415
31.5,1.07518
