"Time","C ( block=2)"
0,0
0.5,4.30715e-09
1,7.54162e-06
1.5,0.000457175
2,0.00830511
2.5,0.0572161
3,0.224473
3.5,0.600968
4,1.19294
4.5,1.88514
5,2.49713
5.5,2.88201
6,2.98524
6.5,2.84158
7,2.53479
7.5,2.15537
8,1.77562
8.5,1.43963
9,1.16791
9.5,0.964074
10,0.822531
10.5,0.734133
11,0.689334
11.5,0.679626
12,0.69777
12.5,0.737521
13,0.793291
13.5,0.859757
14,0.93199
14.5,1.00541
15,1.07594
15.5,1.13999
16,1.19505
16.5,1.23938
17,1.27222
17.5,1.29367
18,1.3045
18.5,1.30607
19,1.30004
19.5,1.28832
20,1.27281
20.5,1.25531
21,1.23746
21.5,1.2206
22,1.20577
22.5,1.19371
23,1.18484
23.5,1.17929
24,1.17697
24.5,1.17759
25,1.1807
25.5,1.18579
26,1.19229
26.5,1.19962
27,1.20725
27.5,1.21469
28,1.22155
28.5,1.22752
29,1.23238
29.5,1.23602
30,1.23842
30.5,1.2396
31,1.23969
31.5,1.23884
32,1.23722
32.5,1.23504
33,1.23251
33.5,1.2298
34,1.22709
34.5,1.22453
35,1.22223
35.5,1.22026
36,1.21869
36.5,1.21752
37,1.21675
37.5,1.21634
38,1.21626
38.5,1.21645
39,1.21683
39.5,1.21735
40,1.21794
40.5,1.21855
41,1.21912
41.5,1.21961
42,1.22001
42.5,1.22028
