;Meritev1;Meritev2;Meritev3;Meritev4;Meritev5;Meritev6
Sonda130;34,7;26,4;18,8;38,3;27,9;
Sonda230;14,3;17,8;16,7;15,3;15,7;
Sonda190;5,6;4,6;5,6;5,6;4,6;5,6
Sonda290;6;3,6;4,6;4,1;2,5;4,6
Sonda1120;3,6;2,5;3;3,1;3,6;2,6
Sonda2120;4,1;4,1;3;2;3,6;4,1
Sonda1200;2,6;3,1;2;2,6;2;2,6
Sonda2200;3,1;2;1,5;2,6;2;2,6
