"Time","C ( block=2)"
0,0
2,1.78538e-10
4,3.44015e-07
6,2.56095e-05
8,0.000443753
10,0.00357433
12,0.0167277
14,0.0522469
16,0.120683
18,0.223968
20,0.355349
22,0.502034
24,0.649654
26,0.785272
28,0.900109
30,0.990266
32,1.05605
34,1.1004
36,1.12758
38,1.14218
40,1.14815
42,1.14857
44,1.14567
46,1.14096
48,1.13534
50,1.12933
52,1.12317
54,1.117
56,1.11087
58,1.10478
60,1.09875
62,1.09281
64,1.08697
66,1.08125
68,1.07569
70,1.07032
72,1.06516
74,1.06025
76,1.0556
78,1.05123
80,1.04716
82,1.04338
84,1.03989
86,1.0367
88,1.03379
90,1.03115
92,1.02876
94,1.0266
96,1.02467
98,1.02294
100,1.02139
102,1.02001
104,1.01878
106,1.01769
108,1.01672
110,1.01585
112,1.01508
114,1.01439
116,1.01377
118,1.01322
120,1.01273
122,1.01228
124,1.01188
126,1.01152
128,1.0112
130,1.0109
132,1.01063
134,1.01039
136,1.01017
138,1.00997
140,1.00978
142,1.00961
144,1.00946
146,1.00932
148,1.00919
150,1.00907
152,1.00896
154,1.00886
156,1.00877
158,1.00868
160,1.0086
162,1.00853
164,1.00846
166,1.0084
168,1.00834
170,1.00829
