Time;120RPM baffles no pitch 1L 30g;120RPM baffles pitch 1L 30g;120RPM no baffles no pitch 1L 30g;120RPM no baffles pitch 1L 30g;150RPM baffles no pitch 1L 30g;150RPM baffles pitch 1L 30g;150RPM no baffles no pitch 1L 30g;150RPM no baffles pitch 1L 30g;200RPM baffles no pitch 1L 30g;200RPM baffles pitch 1L 30g;200RPM no baffles pitch 1L 30g;200RPM no baffles no pitch 1L 30g;300RPM no baffles no pitch 1L 30g
214;0,62708106;0,642399181;0,860744366;0,707252697;0,817480029;0,618548369;0,878608358;0,920899219;0,974311155;0,940121693;0,976351665;1;1
219;0,631715415;0,634697826;0,838976781;0,753787009;0,852863386;0,631275675;0,896811719;0,929129358;0,950174147;0,966442334;0,957340258;1;1
224;0,659623229;0,634432262;0,839915775;0,763770943;0,842463014;0,591255877;0,883670832;0,91266908;0,955476843;0,954549645;0,95308974;1;1
229;0,642243419;0,64869684;0,841082404;0,754360799;0,832193989;0,62516473;0,883958064;0,918460659;0,980233194;0,968009588;1;1;1
234;0,640761208;0,637125839;0,855167312;0,741565297;0,839337529;0,652962639;0,860656326;0,91160221;0,962644529;0,972987923;1;1;1
240;0,64717891;0,654842748;0,842192124;0,772779435;0,844251137;0,627508025;0,890348988;0,946732711;0,976736337;0,974186411;1;1;1
245;0,647757715;0,656170568;0,846915547;0,772951572;0,86336824;0,636697416;0,868052564;0,920403886;0,970643805;0,988798746;1;1;1
250;0,67991271;0,657763952;0,848281357;0,750860684;0,852114106;0,66366828;0,889846331;0,919032197;0,973709208;0,976721674;1;1;1
255;0,6509607;0,676656929;0,847626906;0,758090429;0,884446607;0,649654458;0,895555077;0,945056201;0,984791285;0,957269291;1;1;1
260;0,667534875;0,651466292;0,842533576;0,762508607;0,8659952;0,664679113;0,906039064;0,93297771;0,968834485;0,946667281;1;1;1
266;0,659106997;0,682347585;0,860602094;0,752926325;0,862033864;0,651492336;0,894980612;0,91541246;0,964130257;0,944915645;1;1;1
271;0,678172382;0,700178307;0,845891191;0,743114528;0,88170024;0,639775862;0,883778544;0,93145361;0,969638241;0,968240066;1;1;1
276;0,675286176;0,659015896;0,869166856;0,778230434;0,865272786;0,647035481;0,893293121;0,915945894;0,975685541;0,98575643;1;1;1
281;0,683819647;0,685268789;0,86899613;0,758090429;0,875834358;0,628472911;0,885537843;0,948980758;0,971945122;1;1;1;1
286;0,682544711;0,679350506;0,846517186;0,792173514;0,866831051;0,65310048;0,895483269;0,944332254;0,978622204;1;1;1;1
292;0,700929609;0,680185136;0,86899613;0,765779206;0,894079788;0,676303693;0,898104265;0,938121547;0,985956904;1;1;1;1
297;0,694777844;0,676353428;0,853289324;0,794239155;0,884049578;0,6784632;0,90079707;0,938121547;0,996189992;1;1;1;1
302;0,688461824;0,681019766;0,859776918;0,778632086;0,889166179;0,643313778;0,880259945;0,913393027;0,977613161;1;1;1;1
307;0,69922839;0,687241549;0,876422718;0,790566904;0,891867768;0,664908848;0,878141606;0,919184607;0,989926966;1;1;1;1
312;0,697777465;0,68325809;0,870191213;0,818166169;0,893721566;0,660130364;0,880116329;0,921927986;0,980654208;1;1;1;1
318;0,706944493;0,693083956;0,868370134;0,783738811;0,896757496;0,66109525;0,88259371;0,937016575;0,985890794;1;1;1;1
323;0,699611653;0,672559657;0,876081266;0,797567133;0,875177618;0,673500928;0,881049835;0,95359116;0,975650746;1;1;1;1
328;0,694578391;0,696384537;0,861854086;0,765434932;0,873538754;0,689398575;0,909306333;0,968070109;0,985956904;1;1;1;1
333;0,710037974;0,68822793;0,861597997;0,805714941;0,885855613;0,667206195;0,898427402;0,939645647;0,984575559;1;1;1;1
338;0,702908498;0,69334952;0,878642158;0,825338536;0,887381041;0,681541646;0,902269137;0,935187655;0,988900526;1;1;1;1
344;0,703444284;0,710914678;0,875625996;0,82028919;0,901712897;0,670698164;0,904997846;0,923604496;0,972717562;1;1;1;1
349;0,719529603;0,684510035;0,872239927;0,82723204;0,896121652;0,684711986;0,917061611;0,936597447;0,987807976;1;1;1;1
354;0,733471777;0,726620889;0,866605964;0,834806059;0,889455742;0,713382886;0,889738618;0,942122309;0,98591863;1;1;1;1
360;0,719107232;0,705868963;0,869166856;0,838306174;0,895990304;0,71076391;0,877818469;0,945437226;1;1;1;1;1
365;0,719083766;0,706286278;0,889255634;0,832166628;0,895205201;0,669227861;0,914691943;0,941169747;1;1;1;1;1
370;0,757112855;0,714442885;0,901860915;0,821551526;0,912575973;0,705250275;0,893831682;0,949552296;1;1;1;1;1
375;0,730124091;0,737888387;0,864841794;0,855232958;0,90438762;0,704285389;0,898247882;0,940255287;1;1;1;1;1
381;0,718313329;0,718426344;0,864927157;0,854257517;0,897208258;0,714255879;0,904495189;0,921889884;1;1;1;1;1
386;0,733131534;0,718312531;0,867772593;0,844044067;0,927442177;0,714255879;0,904710613;0,939836159;1;1;1;1;1
391;0,739173794;0,718729846;0,880150239;0,882889603;0,896602266;0,687836379;0,894621571;0,947723376;1;1;1;1;1
396;0,749369376;0,715201639;0,903966538;0,89000459;0,904489116;0,712326106;0,898930059;0,947151838;1;1;1;1;1
401;0,747296626;0,748055693;0,879296608;0,896086757;0,893243937;0,725834512;0,908157403;0,93556868;1;1;1;1;1
407;0,742279008;0,723396183;0,877589347;0,844158825;0,921773317;0,692431074;0,907187994;0,940293389;1;1;1;1;1
412;0,745661892;0,750066391;0,879495789;0,869290796;0,898491886;0,703090768;0,89275456;0,958734997;1;1;1;1;1
417;0,741629807;0,747372814;0,884475302;0,905955933;0,903692073;0,712142319;0,899109579;0,95983997;1;1;1;1;1
422;0,753370174;0,722447741;0,864841794;0,863266009;0,910474405;0,725650724;0,926181244;0,950123833;1;1;1;1;1
428;0,760421433;0,744072233;0,892527885;0,862864356;0,88869452;0,706215161;0,931602757;0,968641646;1;1;1;1;1
433;0,76229864;0,742175348;0,887832916;0,869176039;0,915611903;0,756159503;0,914081574;0,988264431;1;1;1;1;1
438;0,762052257;0,749952578;0,871699294;0,887078265;0,907477283;0,716323492;0,916379434;0,964107449;1;1;1;1;1
443;0,792111037;0,751166584;0,87565445;0,888053707;0,906539936;0,730567048;0,919646704;0,963040579;1;1;1;1;1
449;0,765951373;0,737660761;0,89275552;0,922595823;0,91638805;0,714026144;0,903202643;0,945551534;1;1;1;1;1
454;0,776385516;0,740695778;0,88700774;0,837904521;0,91467157;0,724823679;0,915230504;0,942503334;1;1;1;1;1
459;0,786831392;0,76497591;0,868370134;0,930284599;0,901032276;0,740813219;0,908552348;0,963955039;1;1;1;1;1
464;0,794578782;0,77787473;0,88811746;0,901882029;0,915504436;0,705709745;0,92880224;0,962240427;1;1;1;1;1
469;0,790425461;0,768731742;0,901946278;0,917718614;0,931457246;0,733599547;0,930776964;0,938197752;1;1;1;1;1
475;0,77400772;0,744148109;0,896369224;0,88897177;0,922591257;0,732450873;0,903561683;0,953934083;1;1;1;1;1
480;0,779209148;0,768693805;0,904194173;0,893504705;0,943224832;0,765624576;0,941979032;0,953095828;1;1;1;1;1
485;0,783076977;0,763496339;0,898332575;0,927530411;0,917322412;0,721837126;0,945892575;0,942046104;1;1;1;1;1
490;0,788337068;0,763041087;0,890393808;0,9120381;0,921916606;0,733369812;0,89523194;0,960602019;1;1;1;1;1
496;0,799220959;0,750521643;0,907750967;0,913587331;0,927048133;0,74775121;0,932823496;0,981863212;1;1;1;1;1
501;0,790077396;0,780378618;0,916941725;0,92971081;0,932579674;0,750186398;0,899935373;0,947342351;1;1;1;1;1
506;0,796119656;0,75901969;0,908633053;0,942907964;0,921955413;0,731945457;0,923129398;0,953476853;1;1;1;1;1
511;0,814774403;0,783261884;0,878642158;0,88839798;0,932308023;0,738975341;0,90424386;0,95968756;1;1;1;1;1
516;0,803726256;0,760954513;0,940672661;0,926554969;0,928510872;0,760937986;0,910096223;0,975233378;1;1;1;1;1
522;0,78308871;0,791001176;0,902828363;0,947899931;0,940523243;0,768932757;0,930022979;0,969860926;1;1;1;1;1
527;0,803800562;0,785993399;0,903938083;0,925005738;0,943729328;0,732910343;0,939860692;0,973785483;1;1;1;1;1
532;0,822357538;0,767328047;0,896312315;0,947842552;0,921919591;0,752529693;0,930417923;0,964297962;1;1;1;1;1
537;0,813292191;0,787852346;0,897763487;0,938030755;0,920612082;0,73506985;0,916307626;0,953514955;1;1;1;1;1
542;0,802521715;0,778178231;0,90052356;0,937915997;0,935072301;0,756113556;0,936090765;0,95862069;1;1;1;1;1
548;0,824946519;0,776357221;0,913413385;0,929251779;0,91812244;0,752621587;0,960505529;0,995199086;1;1;1;1;1
553;0,815759936;0,798133465;0,901121102;0,9291944;0,929749722;0,762270448;0,934403274;0,982358544;1;1;1;1;1
558;0,817457245;0,785689897;0,905161621;0,919956392;0,930331833;0,761765031;0,935695821;0,973671175;1;1;1;1;1
563;0,810085296;0,777343602;0,90607216;0,934301125;0,929884056;0,760248782;0,949016229;0,942731949;1;1;1;1;1
568;0,826033735;0,791797868;0,913726383;0,925579527;0,942526299;0,760524464;0,912824932;0,943684511;1;1;1;1;1
574;0,821896057;0,787169468;0,908633053;0,933842093;0,945881644;0,77100037;0,936090765;0,960906839;1;1;1;1;1
579;0,826479572;0,792177245;0,907011154;0,898554051;0,936899232;0,772884195;0,937993681;0,972070871;1;1;1;1;1
584;0,81125855;0,793998255;0,917197815;0,904980491;0,947386175;0,769667908;0,947185121;0,984797104;1;1;1;1;1
589;0,831872631;0,796767707;0,917140906;0,928276337;0,932591615;0,768611128;0,907618842;0,944217946;1;1;1;1;1
594;0,827613718;0,786790091;0,933018438;0,949104889;0,963858407;0,776100482;0,941296855;0,971270718;1;1;1;1;1
600;0,828579697;0,786258963;0,910596403;0,945949048;0,941651641;0,759743365;0,939250323;0,982168032;1;1;1;1;1
605;0,838638399;0,808376646;0,924567494;0,933268304;0,96374497;0,776651845;0,964993537;0,968260621;1;1;1;1;1
610;0,82268996;0,803937934;0,893153881;0,914046362;0,931525905;0,788919683;0,940076117;0,968374929;1;1;1;1;1
615;0,833788947;0,798816344;0,910795584;0,960638054;0,94410546;0,781660064;0,956807411;0,945361021;1;1;1;1;1
620;0,835900805;0,816495315;0,908718416;0,917661235;0,933314029;0,788735895;0,929233089;0,968565441;1;1;1;1;1
626;0,845701391;0,813384423;0,921238334;0,928391095;0,947971271;0,786622335;0,935229068;0,969556106;1;1;1;1;1
631;0,849111651;0,793960317;0,907807876;0,87824191;0,939544103;0,771092264;0,909342238;0,974738045;1;1;1;1;1
636;0,831681;0,81012178;0,93316071;0,930628873;0,927325755;0,782027639;0,915266408;0,985101924;1;1;1;1;1
641;0,830320025;0,799385409;0,934981789;0,921276107;0,928346687;0,753678367;0,928335488;0,951114498;1;1;1;1;1
646;0,841250846;0,810994347;0,910340314;0,942678448;0,945944332;0,774078816;0,924457849;0,985787769;1;1;1;1;1
652;0,851684989;0,78993892;0,912360574;0,914218499;0,923391286;0,789471046;0,943810139;0,966279291;1;1;1;1;1
657;0,836127634;0,800106226;0,924681311;0,9645972;0,948959366;0,795719832;0,941943128;1;1;1;1;1;1
662;0,860558704;0,797792025;0,927896654;0,927530411;0,934770798;0,783268207;0,94973431;1;1;1;1;1;1
668;0,864747222;0,78811791;0,918108354;0,959088823;0,931496054;0,79333059;0,929915266;1;1;1;1;1;1
673;0,867523925;0,826548807;0,90763715;0,941989901;0,939385888;0,806333579;0,961187706;1;1;1;1;1;1
678;0,862729225;0,830039076;0,909913499;0,942563691;0,939875458;0,779087034;0,965891139;1;1;1;1;1;1
683;0,855349454;0,804582875;0,93094127;0,938661923;0,948392181;0,799625323;0,957633204;1;1;1;1;1;1
689;0,880582247;0,815850374;0,934640337;0,928907505;0,913856616;0,805782216;0,958818038;1;1;1;1;1;1
694;0,860629099;0,809514777;0,93851013;0,939866881;0,945415955;0,810744487;0,981042654;1;1;1;1;1;1
699;0,866331116;0,805910695;0,9249374;0,948301584;0,933603592;0,791584606;0,929161281;1;1;1;1;1;1
704;0,852404585;0,797905839;0,916714091;0,966318568;0,932934911;0,779362716;0,924170616;1;1;1;1;1;1
709;0,868141839;0,810804659;0,912445937;0,902111545;0,923239041;0,796133355;0,95336062;1;1;1;1;1;1
715;0,860230193;0,818278387;0,936518325;0,915939867;0,929081042;0,780419496;0,954114606;1;1;1;1;1;1
720;0,848392055;0,822110095;0,93205099;0,947383521;0,947845893;0,801830777;0,963521471;1;1;1;1;1;1
725;0,850050254;0,824196669;0,942266105;0,931489557;0,954081937;0,800544263;0,93957346;1;1;1;1;1;1
730;0,877312778;0,83178421;0,934128158;0,939063576;0,960840388;0,807114677;0,964275456;1;1;1;1;1;1
735;0,870679979;0,822451535;0,942209196;0,962531558;0,93989934;0,796822559;0,976231509;1;1;1;1;1;1
741;0,878325688;0,826776433;0,923457774;0,907562543;0,94655928;0,824804256;0,934905931;1;1;1;1;1;1
746;0,876933426;0,806328009;0,934498065;0,933555199;0,942412863;0,811020169;0,963377854;1;1;1;1;1;1
751;0,86206047;0,826055617;0,949208969;0,927817305;0,951374378;0,830363837;0,961331323;1;1;1;1;1;1
756;0,874657312;0,830873705;0,924396768;0,951113151;0,951917681;0,802887557;0,96872756;1;1;1;1;1;1
761;0,874864587;0,802572176;0,918791259;0,92971081;0,923068886;0,815385129;0,960038776;1;1;1;1;1;1
766;0,861501218;0,832542964;0,956607102;0,917202203;0,950419119;0,788460213;0,997917564;1;1;1;1;1;1
772;0,866147306;0,819302705;0,939961302;0,93831765;0,970476554;0,807803882;0,990916272;1;1;1;1;1;1
777;0,873714797;0,806859137;0,945794446;0,928677989;0,969524281;0,829398951;0,967435014;1;1;1;1;1;1
782;0,876346798;0,817633446;0,928835648;0,945490016;0,960595603;0,810744487;0,98003734;1;1;1;1;1;1
787;0,878857563;0,820782276;0,956521739;0,932464999;0,974205046;0,831098989;0,942122648;1;1;1;1;1;1
792;0,885744567;0,830266702;0,947074892;0,955244434;0,954529714;0,806287632;0,974867155;1;1;1;1;1;1
798;0,892557265;0,831746273;0,94314819;0,912956162;0,948060826;0,822415014;0,960433721;1;1;1;1;1;1
803;0,889334726;0,833567283;0,949038243;0,930514115;0,951084815;0,838955918;0,968117191;1;1;1;1;1;1
808;0,882674551;0,822679161;0,946875711;0,928448474;0,946168221;0,806333579;0,973287376;1;1;1;1;1;1
813;0,884336661;0,842141204;0,956379467;0,909283911;0,948099633;0,823288006;0,980647709;1;1;1;1;1;1
818;0,885998772;0,824044918;0,937115866;0,892586642;0,967816758;0,802887557;0,966968261;1;1;1;1;1;1
824;0,892467315;0,831215145;0,950375598;0,919325224;0,946675702;0,827652967;0,973790033;1;1;1;1;1;1
829;0,885498183;0,822717099;0,950005691;0,918579298;0,956649193;0,83817482;0,954473646;1;1;1;1;1;1
834;0,899119668;0,836564361;0,940018211;0,92598118;0,959831397;0,812490471;0,979893724;1;1;1;1;1;1
839;0,912631649;0,867407717;0,934498065;0,92219417;0,970055644;0,820898764;0,969266121;1;1;1;1;1;1
844;0,900132578;0,830835768;0,933217619;0,92058756;0,964667391;0,810055283;0,951206377;1;1;1;1;1;1
850;0,882557225;0,843431086;0,94072957;0,934588019;0,941344168;0,794341423;0,973071952;1;1;1;1;1;1
855;0,895408273;0,847869798;0,936632142;0,915480835;0,956305898;0,838358608;0,989946862;1;1;1;1;1;1
860;0,876366353;0,852498198;0,951712952;0,918579298;0,961255329;0,836750464;0,97199483;1;1;1;1;1;1
865;0,888106719;0,81937858;0,965684043;0,882946982;0,94722199;0,813685092;0,983412322;1;1;1;1;1;1
870;0,906694981;0,855988467;0,947444799;0,911579068;0,976458858;0,812536418;0,960972282;1;1;1;1;1;1
876;0,900903015;0,842141204;0,948298429;0,918923571;0,961553847;0,816809485;0,998743358;1;1;1;1;1;1
881;0,878227916;0,848438863;0,950830867;0,932694515;0,967670484;0,813501304;0,970522763;1;1;1;1;1;1
886;0,870715177;0,83163246;0,944229456;0,938891439;0,948266804;0,826642134;0,963377854;1;1;1;1;1;1
891;0,90733636;0,815129557;0,951314591;0,899414735;0,962440446;0,815477023;0,966968261;1;1;1;1;1;1
896;0,894727785;0,865738457;0,931453449;0,917431719;0,966252522;0,823288006;0,957345972;1;1;1;1;1;1
902;0,893542798;0,84468303;0,940445026;0,878414046;0,980629157;0,837577509;0,979283355;1;1;1;1;1;1
907;0,904622232;0,86619371;0,950546324;0,873995869;0,978360419;0,871302575;0,977416344;1;1;1;1;1;1
912;0,903437245;0,843962214;0,968899385;0,942104659;0,971560175;0,85251027;1;1;1;1;1;1;1
917;0,897211174;0,84039607;0,96625313;0,910029837;0,963939007;0,811249903;1;1;1;1;1;1;1
922;0,899366051;0,860123677;0,956777828;0,920931834;0,954425233;0,806838996;1;1;1;1;1;1;1
928;0,899827532;0,859820175;0,966110858;0,93671104;0,970181021;0,833120655;1;1;1;1;1;1;1
933;0,913757973;0,84881824;0,971033462;0,936825798;0,964419621;0,856553602;1;1;1;1;1;1;1
938;0,901861173;0,842141204;0,959167995;0,902168924;0,939224689;0,845480386;1;1;1;1;1;1;1
943;0,896999988;0,871277363;0,954928295;0,924259812;0,960768744;0,839185653;1;1;1;1;1;1;1
948;0,90940911;0,864258887;0,963180059;0,921218728;0,959810501;0,848696673;1;1;1;1;1;1;1
954;0,918615247;0,853105201;0,967078306;0,885873307;0,953678938;0,833028761;1;1;1;1;1;1;1
959;0,902831063;0,854433021;0,963322331;0,932866651;0,953532664;0,837485615;1;1;1;1;1;1;1
964;0,901982409;0,872263743;0,941782381;0,887020886;0,9599717;0,866845721;1;1;1;1;1;1;1
969;0,901309743;0,854812398;0,953050307;0,912898784;0,946941383;0,822874483;1;1;1;1;1;1;1
974;0,919499099;0,871049736;0,955298202;0,895971999;0,964661421;0,857518488;1;1;1;1;1;1;1
980;0,905580389;0,85841648;0,953334851;0,944112922;0,972267663;0,850442657;1;1;1;1;1;1;1
985;0,906839683;0,854850336;0,984207831;0,917833372;0,969318304;0,831512511;1;1;1;1;1;1;1
990;0,917125214;0,863500133;0,939050763;0,918808813;0,957001445;0,850075082;1;1;1;1;1;1;1
995;0,909416932;0,879699533;0,945509902;0,910259353;0,950819134;0,802979451;1;1;1;1;1;1;1
1000;0,924375926;0,874122691;0,980366492;0,897291714;0,965022628;0,846399325;1;1;1;1;1;1;1
1005;0,915834634;0,858568231;0,968614842;0,890291485;0,954099848;0,85719686;1;1;1;1;1;1;1
1011;0,922925002;0,854888273;0,960021625;0,926325453;0,960858299;0,848099362;1;1;1;1;1;1;1
1016;0,92803257;0,868773474;0,960363078;0,957367455;0,955971557;0,845985802;1;1;1;1;1;1;1
1021;0,917876097;0,868204408;0,960391532;0,883750287;0,978151456;0,856921178;1;1;1;1;1;1;1
1026;0,93453631;0,882506924;0,964915775;0,880078035;0,975246875;0,833672018;1;1;1;1;1;1;1
1032;0,912631649;0,873933002;0,975216253;0,890865274;0,971870634;0,851361596;1;1;1;1;1;1;1
1037;0,915901118;0,849349368;0,952225131;0,943252238;0,982933717;0,856875231;1;1;1;1;1;1;1
1042;0,921700906;0,872377556;0,972797633;0,89482442;0,970798954;0,852050801;1;1;1;1;1;1;1
1047;0,934927395;0,867976782;0,970606647;0,90343126;0,942574062;0,865007842;1;1;1;1;1;1;1
1052;0,893937794;0,863348382;0,965570225;0,895512968;0,951938577;0,838955918;1;1;1;1;1;1;1
1058;0,910961717;0,870784172;0,975671523;0,931489557;0,969864592;0,836382889;1;1;1;1;1;1;1
1063;0,931716589;0,853863955;0,965029593;0,930055084;0,991157892;0,861378033;1;1;1;1;1;1;1
1068;0,928611375;0,879813346;0,961871159;0,904923112;0,970321325;0,861469927;1;1;1;1;1;1;1
1073;0,910355535;0,871087674;0,97513089;0,902570576;0,976670806;0,843412773;1;1;1;1;1;1;1
1078;0,935783871;0,85890967;0,977378784;0,900332798;0,979235077;0,872864772;1;1;1;1;1;1;1
1084;0,923495986;0,877840586;1;0,907218269;0,974151313;0,885086662;1;1;1;1;1;1;1
1089;0,923812764;0,863576008;1;0,916972688;0,979049996;0,851729172;1;1;1;1;1;1;1
1094;0,933679834;0,872263743;1;0,926612348;0,968160053;0,87410534;1;1;1;1;1;1;1
1099;0,927582822;0,881482606;1;0,883750287;0,996456589;0,865834888;1;1;1;1;1;1;1
