Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25
73,8;1,000806452;1,001657001;73,669;1,002021563;0,999320652;73,76;1,001659751;1,000853242;73,78;1,000822368;1,000824402;73,688;1,002063274;1,003462604
74,31;1,002419355;1,001657001;74,177;1,000673854;0,999320652;74,274;1,001659751;1,000853242;74,3;1,000822368;1;74,204;1,002751032;1,003462604
74,82;1,001612903;1,001657001;74,682;1,000673854;0,999320652;74,782;1,000829876;1,001706485;74,811;1,001644737;1;74,717;1,00343879;1,004155125
75,33;1,000806452;1,001657001;75,193;1,000673854;0,999320652;75,286;1,001659751;1,001706485;75,323;1,000822368;1;75,24;1,00343879;1,004155125
75,84;1,000806452;1,001657001;75,702;1;0,999320652;75,812;1,001659751;1,000853242;75,837;1,001644737;1;75,752;1,000687758;1,004155125
76,35;1,000806452;1,001657001;76,216;1;0,999320652;76,325;1,001659751;1,000853242;76,351;1,000822368;1;76,261;0,999312242;1,004155125
76,86;1,000806452;1,001657001;76,724;1;0,999320652;76,836;1,000829876;1,000853242;76,863;0,998355263;1;76,775;1;1,004155125
77,37;0,999193548;1,001657001;77,235;1;0,999320652;77,345;1,001659751;1,000853242;77,37;1;1;77,307;1,000687758;1,004155125
77,88;0,997580645;1,0008285;77,745;0,999326146;0,999320652;77,865;1,000829876;1,000853242;77,89;1,000822368;1,000824402;77,817;1,000687758;1,004155125
78,38;0,998387097;1,001657001;78,274;1;0,999320652;78,37;1;1;78,401;1,000822368;1;78,328;1,002751032;1,004155125
78,9;0,999193548;1,001657001;78,793;1;0,999320652;78,876;1,000829876;1;78,912;1,001644737;1;78,838;1,002751032;1,004847645
79,41;0,998387097;1,0008285;79,31;1;0,999320652;79,386;1,000829876;1,000853242;79,423;1,001644737;1,000824402;79,347;1,00343879;1,004847645
79,91;0,998387097;1,0008285;79,821;0,999326146;0,999320652;79,896;1;1,000853242;79,936;1,001644737;1,000824402;79,857;1,00343879;1,004155125
80,44;0,999193548;1,0008285;80,327;0,999326146;0,999320652;80,408;0,999170124;1,000853242;80,442;1,001644737;1,000824402;80,376;1,002751032;1,004847645
80,95;0,999193548;1,0008285;80,838;0,999326146;1;80,919;1,000829876;1,000853242;80,968;1,001644737;1;80,884;1,002063274;1,004155125
81,46;1;1,0008285;81,351;0,999326146;1;81,428;1,000829876;1,000853242;81,477;1,000822368;1,000824402;81,392;1,002063274;1,004155125
81,96;1;1,0008285;81,866;0,999326146;1;81,933;1,000829876;1,000853242;81,99;1,000822368;1,000824402;81,913;1,002751032;1,004155125
82,47;1;1,0008285;82,377;1;1;82,441;1,000829876;1,000853242;82,499;1,000822368;1;82,425;1,00343879;1,004155125
82,99;1;1,0008285;82,909;1;1;82,951;1,000829876;1,000853242;83,034;1;1;82,934;1,00343879;1,004155125
83,49;1,000806452;1,0008285;83,419;1;1;83,466;1,000829876;1,000853242;83,545;1,000822368;1;83,445;1,00343879;1,004155125
84;1,000806452;1,0008285;83,929;1;1;83,973;1;1,000853242;84,058;1,000822368;1;83,958;1,00343879;1,004155125
84,53;1;1,0008285;84,444;1;1;84,477;1,000829876;1,000853242;84,566;1;0,999175598;84,467;1,00343879;1,004155125
85,04;1;1,0008285;84,959;1;1;84,991;1,000829876;1,000853242;85,081;1;1;84,986;1,00343879;1,004155125
85,56;1,000806452;1,0008285;85,473;1;1;85,5;1,000829876;1,000853242;85,599;0,999177632;1;85,497;1,004126547;1,004155125
86,08;1,000806452;1,0008285;85,983;1;1;86,007;1,000829876;1,000853242;86,109;1,000822368;1;86,007;1,00343879;1,004155125
86,59;1,000806452;1,0008285;;;;86,518;1,000829876;1,000853242;86,628;1,000822368;1;86,516;1,00343879;1,004155125
87,09;1,000806452;1,0008285;;;;87,031;1,000829876;1,000853242;87,141;1,001644737;1;87,027;1,004126547;1,004155125
87,6;1;1,0008285;;;;87,537;1,000829876;1,000853242;87,654;1,001644737;1;87,539;1,004126547;1,004155125
88,12;1;1,0008285;;;;88,047;1,000829876;1,000853242;88,158;1,000822368;1;88,047;1,004126547;1,004155125
88,63;1;1,0008285;;;;88,554;1,000829876;1,000853242;88,665;1,000822368;1;88,56;1,004126547;1,004155125
89,14;1;1,0008285;;;;89,067;1,000829876;1,000853242;89,173;1,000822368;1;89,063;1,004126547;1,004155125
89,65;1;1,0008285;;;;89,577;1,000829876;1,000853242;89,676;1,000822368;1;89,574;1,004126547;1,004155125
90,16;0,999193548;1,0008285;;;;90,088;1,000829876;1,001706485;90,185;1,000822368;1;90,081;1,00343879;1,003462604
