"Time","C ( block=2)"
0,0
0.5,13.6185
1,9.54369
1.5,1.95496
2,0.443433
2.5,0.653515
3,1.33993
3.5,2.08539
4,2.48412
4.5,2.38189
5,1.97122
5.5,1.56095
6,1.333
6.5,1.28954
7,1.33682
7.5,1.38252
8,1.3838
8.5,1.34565
9,1.2949
9.5,1.25493
10,1.2343
10.5,1.2288
11,1.22954
11.5,1.22972
12,1.22704
12.5,1.22253
13,1.21819
