Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
105,674;0,999291283;1;105,414;0,998361998;1,000825764;105,694;1,001530222;1;106,03;0,999240699;1,000765111;;;;104,94;0,999192897;0,998340249
106,19;0,999291283;1;105,915;0,999180999;1,000825764;106,216;1,000765111;1;106,53;0,999240699;1;;;;105,45;0,999192897;0,998340249
106,694;0,999291283;1;106,42;0,999180999;1,000825764;106,723;1,000765111;1;107,05;0,999240699;1;;;;105,962;0,999192897;0,998340249
107,218;0,999291283;1;106,927;0,999180999;1,000825764;107,227;1,000765111;0,999226605;107,57;0,999240699;1;;;;106,48;0,999192897;0,999170124
107,728;0,999291283;1;107,452;0,998361998;1,000825764;107,746;1,000765111;0,999226605;108,08;0,999240699;1;;;;106,988;0,999192897;0,998340249
108,244;0,999291283;1;107,967;0,999180999;1,000825764;108,266;1,000765111;0,999226605;108,58;1;1;;;;107,493;0,999192897;0,999170124
108,747;1;1;108,481;0,998361998;1,000825764;108,77;1;0,999226605;109,11;0,999240699;1;;;;108,005;0,999192897;0,999170124
109,267;1;1;108,991;0,998361998;1;109,288;1;0,999226605;109,63;1;1;;;;108,515;0,999192897;0,999170124
109,783;1;1;109,499;0,999180999;1,000825764;109,803;1;0,999226605;;;;;;;109,034;0,999192897;0,999170124
110,294;1;1;110,017;0,999180999;1;110,312;1;0,999226605;;;;;;;109,554;0,999192897;0,999170124
110,799;1;1;110,538;0,998361998;1,000825764;110,826;1;0,999226605;;;;;;;110,077;0,999192897;0,999170124
111,307;1;1;111,05;0,999180999;1,000825764;111,33;1;0,999226605;;;;;;;110,592;0,999192897;0,999170124
111,831;1;1;111,559;0,998361998;1,000825764;111,839;1;1;;;;;;;111,104;0,999192897;0,999170124
;;;112,084;0,998361998;1,000825764;112,358;1;1;;;;;;;111,623;0,999192897;0,999170124
;;;112,591;0,999180999;1,000825764;112,878;1;1;;;;;;;112,136;0,999192897;0,999170124
;;;113,105;0,998361998;1,000825764;113,407;0,999234889;1;;;;;;;112,644;0,999192897;0,999170124
;;;113,628;0,999180999;1,000825764;113,913;0,999234889;1;;;;;;;113,163;0,999192897;0,999170124
;;;114,148;0,999180999;1,000825764;114,426;1;1;;;;;;;113,677;0,999192897;0,999170124
;;;114,662;0,999180999;1,000825764;114,938;1;1;;;;;;;114,203;1;0,999170124
;;;115,178;0,999180999;1,000825764;115,448;1;1;;;;;;;114,716;0,999192897;0,999170124
;;;115,685;0,999180999;1,000825764;115,962;0,999234889;1;;;;;;;115,221;0,999192897;0,999170124
;;;116,2;0,999180999;1,000825764;116,469;1;1;;;;;;;115,734;1;0,999170124
;;;116,716;0,999180999;1,000825764;116,985;1;1;;;;;;;116,251;1;0,999170124
;;;117,237;0,999180999;1,000825764;117,49;1;1;;;;;;;116,751;1;1
;;;117,755;0,999180999;1,000825764;118,008;1;1;;;;;;;117,254;1;0,999170124
;;;118,273;0,999180999;1,000825764;118,511;1;1;;;;;;;117,785;1;1
;;;118,777;0,999180999;1,000825764;119,033;1;1;;;;;;;118,291;1;1
;;;119,287;0,999180999;1,000825764;119,54;1,000765111;1;;;;;;;118,804;1;1
;;;119,8;0,999180999;1,000825764;120,046;1,000765111;1;;;;;;;119,312;1;1
;;;120,308;0,999180999;1,000825764;120,553;1,000765111;1;;;;;;;119,82;1;1
;;;120,816;0,999180999;1,000825764;121,059;1,000765111;1;;;;;;;120,329;1;1
;;;121,319;0,999180999;1,000825764;121,584;1,000765111;1;;;;;;;120,847;1;1
;;;121,829;0,999180999;1,000825764;122,099;1,000765111;1;;;;;;;121,366;1;1
;;;122,34;0,999180999;1,000825764;122,603;1,000765111;0,999226605;;;;;;;121,883;1;1
;;;122,857;0,999180999;1,000825764;123,109;1,000765111;0,999226605;;;;;;;122,388;1;1
;;;123,373;0,999180999;1,000825764;123,622;1,000765111;0,999226605;;;;;;;122,902;1;1
;;;123,89;0,999180999;1,000825764;124,126;1,000765111;0,999226605;;;;;;;123,407;1;1
;;;124,394;0,999180999;1,000825764;124,633;1,000765111;0,999226605;;;;;;;123,925;1;1
;;;124,896;1;1,000825764;125,142;1,000765111;0,999226605;;;;;;;124,428;1;1
;;;125,401;1;1,000825764;125,651;1;0,999226605;;;;;;;124,947;1;1
;;;125,914;1;1,000825764;126,157;1;0,999226605;;;;;;;125,451;1;1
;;;126,416;1;1,000825764;126,659;1;0,999226605;;;;;;;125,982;1;1
;;;126,933;1;1,000825764;127,181;1;0,999226605;;;;;;;126,496;1;1
;;;127,442;1;1,000825764;127,701;1;0,999226605;;;;;;;126,997;1;1
;;;127,952;1;1,000825764;128,218;1;0,999226605;;;;;;;127,514;1;1
;;;128,472;1;1,000825764;128,726;0,999234889;0,999226605;;;;;;;128,019;1;1
;;;128,988;1;1,000825764;129,238;0,999234889;0,999226605;;;;;;;128,529;1;1
;;;129,493;1;1,000825764;129,745;0,999234889;0,999226605;;;;;;;129,036;1;1
;;;130,01;1;1;130,268;0,999234889;0,999226605;;;;;;;129,55;1;1
;;;130,519;1;1;130,771;0,999234889;1;;;;;;;130,059;1;1
;;;131,031;1;1;131,285;0,999234889;1;;;;;;;;;
;;;131,538;1;1;131,792;0,999234889;1;;;;;;;;;
;;;132,052;1;1;132,311;0,999234889;1;;;;;;;;;
;;;132,56;1;1;132,832;0,999234889;1;;;;;;;;;
;;;133,068;1;1;133,352;0,999234889;1;;;;;;;;;
;;;133,587;1,000819001;1;133,866;1;1;;;;;;;;;
;;;134,089;1;1;134,369;1;1;;;;;;;;;
;;;134,608;1;1;;;;;;;;;;;;
;;;135,13;1;1;;;;;;;;;;;;
