;Meritev1;Meritev2;Meritev3;Meritev4;Meritev5;Meritev6
Sonda130;18,6;26,9;20,7;23,8;;
Sonda230;18,6;21,2;20,1;21,2;22,7;
Sonda190;7,2;6,7;5,2;9,3;8,8;
Sonda290;6,7;5,7;6,7;7,2;6,7;
Sonda1120;8,8;5,7;6,7;5,2;6,7;7,2
Sonda2120;5,2;4,6;5,2;5,2;5,2;5,7
Sonda1200;3,1;3,6;3,6;3,6;3,1;
Sonda2200;3,1;3,6;3,1;3,1;3,1;
