Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
62,458;1,000720981;1;62,511;1,000754148;0,999244142;62,506;1,000754148;1;62,52;0,999219969;0,999217527;62,52;0,999287242;0,999285204;62,5;1,001533742;1,001538462
62,974;1,000720981;1;63,016;1,000754148;0,999244142;63,021;1,000754148;1;63,04;0,999219969;0,998435055;63,03;0,999287242;0,999285204;63,01;1,001533742;1,001538462
63,483;1,000720981;1;63,519;1,000754148;0,999244142;63,542;1,000754148;1;63,55;0,999219969;0,998435055;63,54;0,999287242;0,999285204;63,52;1,001533742;1,001538462
63,995;1,000720981;1,000721501;64,032;1,000754148;0,999244142;64,055;1,000754148;1;64,06;0,999219969;0,998435055;64,05;0,999287242;0,999285204;64,02;1,001533742;1,001538462
64,507;1,000720981;1,000721501;64,538;1,000754148;0,999244142;64,565;1,000754148;0,99924357;64,57;0,999219969;0,998435055;64,56;0,999287242;0,999285204;64,53;1,001533742;1,001538462
65,018;1,000720981;1,000721501;65,05;1,000754148;0,999244142;65,076;1,000754148;0,99924357;65,09;0,999219969;0,998435055;65,07;0,999287242;0,999285204;65,04;1,001533742;1,000769231
65,525;1,000720981;1,000721501;65,566;1,000754148;1;65,587;1,000754148;0,99924357;65,61;0,998439938;0,998435055;65,58;0,999287242;0,999285204;65,56;1,001533742;1,000769231
66,037;1,000720981;1,000721501;66,081;1;1;66,093;1,000754148;0,99924357;66,12;0,998439938;0,998435055;66,09;0,999287242;0,999285204;66,07;1,001533742;1,000769231
66,549;1,000720981;1,000721501;66,586;1;1;66,623;1,000754148;0,99924357;66,62;0,998439938;0,998435055;66,6;0,999287242;1;66,58;1,001533742;1,000769231
67,06;1,000720981;1,000721501;67,099;1;1;67,136;1,000754148;0,99924357;67,14;0,998439938;0,999217527;67,11;0,999287242;1;67,09;1,001533742;1,000769231
67,578;1,000720981;1,000721501;67,611;1;1;67,645;1,000754148;0,99924357;67,66;0,998439938;0,999217527;67,63;0,999287242;1;67,59;1,001533742;1,000769231
68,088;1,000720981;1,000721501;68,126;1;1;68,151;1,000754148;0,99924357;68,17;0,998439938;0,999217527;68,15;0,999287242;1;68,11;1,001533742;1,000769231
68,592;1,000720981;1,000721501;68,635;1;1;68,664;1,000754148;0,99924357;68,68;0,998439938;0,999217527;68,67;0,999287242;1;68,62;1,001533742;1,000769231
69,101;1,000720981;1,000721501;69,147;1;1;69,177;1,000754148;0,99924357;69,19;0,998439938;0,999217527;69,17;0,999287242;1;69,13;1,001533742;1,000769231
69,609;1,000720981;1,000721501;69,664;1;1;69,695;1;0,99924357;69,69;0,998439938;0,999217527;69,69;0,999287242;1;69,65;1,001533742;1,000769231
70,127;1,001441961;1,000721501;70,179;1;1;70,213;1;0,99924357;70,2;0,998439938;0,999217527;70,19;0,999287242;1;70,16;1,001533742;1,000769231
70,642;1,001441961;1,000721501;70,689;1,000754148;1;70,73;1;0,99924357;70,71;0,998439938;0,999217527;70,7;0,999287242;1;70,67;1,001533742;1,000769231
71,159;1,001441961;1,000721501;71,202;1,000754148;1;71,234;1;0,99924357;71,22;0,998439938;1;71,22;1;1;71,17;1,001533742;1,000769231
71,678;1,001441961;1,000721501;71,717;1,000754148;1;71,749;1;0,99924357;71,73;0,998439938;1;71,73;1;1;71,68;1,001533742;1,000769231
72,199;1,001441961;1,000721501;72,234;1,000754148;1;72,258;1;0,99924357;72,23;0,998439938;1;72,23;1;1;72,19;1,001533742;1
72,704;1,001441961;1,000721501;72,741;1,000754148;1;72,771;1;0,99924357;72,74;0,999219969;1;72,74;1;1;72,71;1,000766871;1
73,209;1,001441961;1,000721501;73,255;1,000754148;1;73,276;1;0,99924357;73,25;0,999219969;1;73,24;1;1;73,22;1,000766871;1
73,717;1,001441961;1,000721501;73,778;1,000754148;1;73,806;1;0,99924357;73,75;0,999219969;1;73,75;1;1;73,73;1,000766871;1
74,235;1,001441961;1,000721501;74,286;1,000754148;1;74,314;1;0,99924357;74,27;0,999219969;1;74,26;1;1;74,24;1,000766871;1
74,742;1,001441961;1;74,79;1,000754148;1;74,829;1;0,99924357;74,77;0,999219969;1;74,77;1;1;74,75;1,000766871;1
75,25;1,001441961;1;75,307;1,001508296;1;75,34;1;0,99924357;75,29;0,999219969;0,999217527;75,29;1;1;75,26;1,000766871;1
75,754;1,001441961;1;75,816;1,001508296;1;75,857;1;0,99924357;75,79;0,999219969;0,999217527;75,8;1;1;75,78;1,000766871;1
76,258;1,001441961;1;76,327;1,000754148;1;76,367;1;0,99924357;76,3;0,999219969;0,999217527;76,31;1;1;76,3;1,000766871;1
76,765;1,001441961;1;76,847;1,000754148;1;76,882;1;1;76,82;0,999219969;0,999217527;76,82;1;1;76,82;1,000766871;1
77,275;1,001441961;1;77,361;1,000754148;1;77,387;1;0,99924357;77,35;0,999219969;0,999217527;77,34;1;1;77,33;1,000766871;1
77,786;1,001441961;1;77,871;1,000754148;1;77,896;1;1;77,86;0,999219969;0,999217527;77,85;1;1;77,84;1,000766871;1
78,293;1,001441961;1;78,382;1,000754148;0,999244142;78,409;1;1;78,38;0,999219969;0,999217527;78,38;1;1;78,34;1,000766871;1
78,799;1,001441961;1;78,895;1,000754148;0,999244142;78,926;1;1;78,89;0,999219969;0,999217527;78,89;1;1;78,85;1,000766871;1
79,305;1,001441961;1;79,408;1,000754148;0,999244142;79,435;1;1;79,41;0,999219969;0,999217527;79,41;1;1;79,37;1,000766871;1
79,824;1,001441961;1;79,926;1,000754148;0,999244142;79,946;1;1;79,93;0,999219969;0,999217527;79,91;1;1;79,89;1,000766871;1
80,331;1,001441961;0,999278499;80,443;1,000754148;0,999244142;80,457;1;1;80,44;0,999219969;0,999217527;80,43;1;1;80,4;1,000766871;1
80,838;1,001441961;0,999278499;80,946;1,000754148;0,999244142;80,971;1;1;80,95;0,999219969;0,999217527;80,93;1;1;80,91;1;1
81,352;1,001441961;0,999278499;81,456;1,000754148;0,999244142;;;;81,46;0,999219969;0,999217527;81,45;1;1;81,42;1;1
81,875;1,001441961;0,999278499;81,976;1;0,999244142;;;;81,97;0,999219969;0,999217527;81,95;1;1;81,93;1;1
82,389;1,001441961;0,999278499;82,484;1;0,999244142;;;;82,49;0,999219969;0,999217527;82,48;1;1;82,44;1;1
82,903;1,000720981;0,999278499;82,996;1;0,999244142;;;;83;0,998439938;0,999217527;82,99;1;1;82,95;1;1
83,413;1,000720981;0,999278499;83,501;1;0,999244142;;;;83,51;0,998439938;0,999217527;83,5;1;1;83,46;1;1
83,92;1,000720981;0,999278499;84,02;1;0,999244142;;;;84,02;0,998439938;0,999217527;84,01;1;1;83,97;1;1
84,43;1,000720981;0,999278499;84,522;1;1;;;;84,55;0,998439938;0,999217527;84,52;1;1;84,48;1;1
84,941;1,000720981;0,999278499;85,038;1;1;;;;85,06;0,998439938;0,999217527;85,04;1;1;85,01;1;1
85,456;1,000720981;0,999278499;85,554;1;1;;;;85,57;0,998439938;0,999217527;85,55;1;1;85,52;1;1
85,967;1,000720981;0,999278499;86,06;1;1;;;;86,08;0,998439938;0,999217527;86,06;1;1;86,03;1;1
86,477;1,000720981;0,999278499;86,576;1;1;;;;86,6;0,998439938;0,999217527;86,58;1;1;86,54;1;1
86,995;1,000720981;0,999278499;;;;;;;87,11;0,998439938;1;87,09;1,000712758;1;87,05;1;1,000769231
87,509;1,000720981;0,999278499;;;;;;;87,62;0,998439938;1;87,61;1;1;87,57;1;1,000769231
88,016;1,000720981;0,999278499;;;;;;;88,13;0,998439938;1;88,11;1;1;88,09;1;1,000769231
88,544;1,000720981;0,999278499;;;;;;;88,66;0,998439938;1;88,62;1,000712758;1;88,6;1;1,000769231
89,05;1,000720981;0,999278499;;;;;;;89,17;0,998439938;1;89,13;1,000712758;1;89,1;1;1,000769231
89,559;1,000720981;0,999278499;;;;;;;89,7;0,999219969;1;89,66;1;1;89,62;1;1,000769231
90,066;1;0,999278499;;;;;;;90,22;0,999219969;1;90,17;1,000712758;1;90,13;1;1,000769231
90,577;1;0,999278499;;;;;;;90,73;0,999219969;1;90,68;1,000712758;1;90,64;1;1,000769231
91,081;1;0,999278499;;;;;;;91,24;0,999219969;1;91,19;1,000712758;1;91,15;1;1,000769231
91,604;1;0,999278499;;;;;;;91,77;0,999219969;1;91,7;1,000712758;1;91,67;1;1,000769231
92,114;1;0,999278499;;;;;;;92,29;0,999219969;1;92,21;1,000712758;1;92,17;1;1,000769231
92,635;1;0,999278499;;;;;;;92,8;0,999219969;1;92,73;1,000712758;1;92,69;1;1,000769231
93,154;1;0,999278499;;;;;;;93,32;0,999219969;1;93,24;1,000712758;1;93,2;1;1,000769231
93,665;1;0,999278499;;;;;;;93,83;0,999219969;1;93,75;1,000712758;1;93,71;1;1,000769231
94,177;1;0,999278499;;;;;;;94,34;1;1;94,26;1,000712758;0,999285204;94,24;1;1,000769231
94,69;1;0,999278499;;;;;;;94,86;1;0,999217527;94,78;1,000712758;0,999285204;94,75;1;1,000769231
