"Time","C ( block=2)"
0,0
0.5,6.53394e-06
1,0.00110823
1.5,0.0236924
2,0.166408
2.5,0.582703
3,1.27456
3.5,2.00009
4,2.4654
4.5,2.54198
5,2.29666
5.5,1.88858
6,1.46556
6.5,1.11688
7,0.874051
7.5,0.732449
8,0.672236
8.5,0.671515
9,0.711911
9.5,0.779168
10,0.861886
10.5,0.950218
11,1.03547
11.5,1.11015
12,1.16882
12.5,1.2083
13,1.22802
13.5,1.22961
14,1.21645
14.5,1.1929
15,1.16363
15.5,1.13299
16,1.10458
16.5,1.08102
17,1.0638
17.5,1.05342
18,1.04949
18.5,1.051
19,1.05653
19.5,1.06448
20,1.07333
20.5,1.08172
21,1.08864
21.5,1.0934
22,1.0957
22.5,1.09556
23,1.09326
23.5,1.08927
24,1.08418
24.5,1.07856
25,1.07297
25.5,1.06787
26,1.06359
26.5,1.06032
27,1.05814
27.5,1.05699
28,1.05674
28.5,1.05717
29,1.05808
29.5,1.05922
30,1.06041
30.5,1.06147
31,1.06229
31.5,1.0628
